source_section,source_page_or_anchor,target_file,target_section,status,issue_type,note
front-matter,docx:front-matter,docs/full-report.md,#kapak,ŞABLON_ARTEFAKTI,template_fields,"Kaynak DOCX içinde doldurulmamış kapak/onay yer tutucuları var; hedef yayın sürümünde bu şablon alanları taşınmadı."
ABSTRACT,TOC iv / docx:abstract,docs/full-report.md,#abstract,TAM,section_transfer,"İngilizce abstract, danışman bilgisi, sayfa sayısı ve key words aktarılmış."
İÇİNDEKİLER,TOC vi / docx:icindekiler,docs/full-report.md,#icindekiler,KISMİ,word_bookmark,"Kaynak TOC içinde TEŞEKKÜR bookmark alanı bozuk; hedefte GitHub uyumlu TOC kurulmuş ve bozuk kaynak girdisi taşınmamış."
GİRİŞ,TOC 1 / docx:giris,docs/full-report.md,#giris,TAM,heading_transfer,"Kaynakta ana başlık boş taşıyıcı gibi; hedefte aynı omurga korunmuş."
Çalışmanın Amacı ve Kapsamı,TOC 1 / docx:calismanin-amaci-ve-kapsami,docs/full-report.md,#calismanin-amaci-ve-kapsami,TAM,section_transfer,"Kaynak paragraf bloğu teknik anlamı korunarak aktarılmış."
Buck Converter Nedir?,TOC 1 / docx:buck-converter-nedir,docs/full-report.md,#buck-converter-nedir,TAM,section_transfer,"Tanım paragrafı aktarılmış; hedefte küçük editöryal temizlik var."
Güç ve Kontrol Tasarımında İzlenen Yöntem,TOC 2 / docx:guc-ve-kontrol-tasariminda-izlenen-yontem,docs/full-report.md,#guc-ve-kontrol-tasariminda-izlenen-yontem,TAM,section_transfer,"Güç katı ile kontrol tasarımının birlikte düşünülmesi anlatımı korunmuş."
Frekans Seçim Kuralları ve Hesaplamalar,TOC 3 / docx:frekans-secim-kurallari-ve-hesaplamalar,docs/full-report.md,#frekans-secim-kurallari-ve-hesaplamalar,TAM,equation_and_figure_transfer,"C*Resr = 1.59u, 2.44n < C*L < 25.3n, fs/fc/fL ilişkileri ve image1-image2 aktarılmış."
Hesaplamalarda Kullanılacak Parametreler,TOC 5 / docx:hesaplamalarda-kullanilacak-parametreler,docs/full-report.md,#hesaplamalarda-kullanilacak-parametreler,KISMİ,YANLIŞ_KONUMLANDIRMA,"Kaynak OOXML bu başlık altında çok az metin gösteriyor; hedefte parametreler tabloya alınmış. İçerik yararlı ama kaynak bölüm sınırıyla birebir değil."
Güç Katı Hesaplamaları,TOC 6 / docx:guc-kati-hesaplamalari,docs/full-report.md,#guc-kati-hesaplamalari,KISMİ,equation_rendering,"Duty-cycle, L, C, ESR, RMS akımlar ve güncellenmiş değerler korunmuş; kaynakta 81 math nesnesi var, hedefte denklemler Markdown'a normalize edilmiş ve birebir OOXML karşılığı yok."
Güç Katı Hesaplamaları - tablolar,TOC 6 / docx:guc-kati-hesaplamalari,docs/full-report.md,#guc-kati-hesaplamalari,KISMİ,table_reconstruction,"Kaynakta 4 tablo / 31 satır; hedefte hesap adımları Markdown tablolarına yeniden kurulmuş. Görsel karşılaştırma gerekebilir."
Çevirici Durum Denklemleri,TOC 12 / docx:cevirici-durum-denklemleri,docs/full-report.md,#cevirici-durum-denklemleri,KISMİ,equation_as_image,"Kaynak durum denklemleri image6 ile korunmuş; denklemler tam LaTeX olarak ayrıca çözülmemiş."
ESR Etkisi,TOC 13 / docx:esr-etkisi,docs/full-report.md,#esr-etkisi,TAM,section_transfer,"ESR açıklaması, Vout ilişkisi ve image7-image8 aktarılmış."
Genel Dalga-Biçimleri,TOC 14 / docx:genel-dalga-bicimleri,docs/full-report.md,#genel-dalga-bicimleri,TAM,media_transfer,"image9-image13 dahil tüm medya hedefte bağlı; image12-image13 küçük nesneler ölçeklenerek gösteriliyor."
Kontrolcü Tasarımı,TOC 16 / docx:kontrolcu-tasarimi,docs/full-report.md,#kontrolcu-tasarimi,TAM,section_transfer,"Kontrol sistemi girişi ve block diagram akışı korunmuş; hedef alt başlıklarla genişletilmiş."
Kontrolcü Hesabı,TOC 16 / docx:kontrolcu-hesabi,docs/full-report.md,#kontrolcu-tasarimi,KISMİ,equation_rendering,"Sensor gain, Gvd, loop gain, lead/lag/PID, op-amp kutbu ve T(s) aktarılmış; kaynakta 87 math nesnesi var, hedefte denklemler normalize edildiği için birebir denklem sayısı eşleşmiyor."
Kontrolcü Hesabı - block/Bode görselleri,TOC 16-32 / docx:kontrolcu-hesabi,docs/full-report.md,#kontrolcu-tasarimi,TAM,figure_transfer,"image14-image31 hedefte bağlı; image30 küçük medya nesnesi de artık görünür/linkli."
Op-amp devresi -gerçeklemesi,TOC 32 / docx:op-amp-devresi-gerceklemesi,docs/full-report.md,#op-amp-devresi-gerceklemesi,TAM,figure_transfer,"image32-image34 dahil başlık çevresi medyası ve op-amp devresi hedefte bağlı."
Sensor Gain (H(s)),TOC 33 / docx:sensor-gain-hs,docs/full-report.md,#sensor-gain-hs,TAM,section_transfer,"R3=12.8k, R5=87.2k ve H≈0.128/0.12857 aktarılmış."
Compensator Devresi,TOC 34 / docx:compensator-devresi,docs/full-report.md,#compensator-devresi,KISMİ,equation_rendering,"R1/R2/R4/C2/C4 çözüm mantığı aktarılmış; kaynakta 11 math nesnesi ve 5 tablo var, hedefte yeniden yazılmış denklemler ve tablo var."
Benzetim sonuçları,TOC 40 / docx:benzetim-sonuclari,docs/full-report.md,#benzetim-sonuclari,TAM,section_transfer,"Benzetimin amacı ve doğrulama akışı hedefte açık biçimde aktarılmış."
Tasarım Gereksinimleri,TOC 40 / docx:tasarim-gereksinimleri,docs/full-report.md,#tasarim-gereksinimleri,TAM,requirements_transfer,"Kaynak gereksinimleri tabloya dönüştürülmüş; hedef ayrıca geçme/takip durumu ekliyor."
